,scanID,segmethod,hemisphere,nuclei,AVGDIST,manufacturerCode,model,fieldStrength
309,7,hipsthomas,right,7,0.579248,1,DISCOVERY MR750w,3.0
310,7,hipsthomas,left,8,0.761245,1,DISCOVERY MR750w,3.0
311,7,hipsthomas,right,8,0.706463,1,DISCOVERY MR750w,3.0
312,7,hipsthomas,left,9,0.572423,1,DISCOVERY MR750w,3.0
313,7,hipsthomas,right,9,0.839958,1,DISCOVERY MR750w,3.0
314,7,hipsthomas,left,10,2.228857,1,DISCOVERY MR750w,3.0
315,7,hipsthomas,right,10,2.890504,1,DISCOVERY MR750w,3.0
316,7,hipsthomas,left,11,0.457342,1,DISCOVERY MR750w,3.0
317,7,hipsthomas,right,11,0.543618,1,DISCOVERY MR750w,3.0
318,7,hipsthomas,left,12,0.631687,1,DISCOVERY MR750w,3.0
319,7,hipsthomas,right,12,0.535466,1,DISCOVERY MR750w,3.0
320,9,t1thomas,left,2,0.54036,1,Optima MR450w,1.5
321,9,t1thomas,right,2,0.401145,1,Optima MR450w,1.5
322,9,t1thomas,left,4,0.66183,1,Optima MR450w,1.5
323,9,t1thomas,right,4,0.780048,1,Optima MR450w,1.5
324,9,t1thomas,left,5,1.168434,1,Optima MR450w,1.5
325,9,t1thomas,right,5,1.063213,1,Optima MR450w,1.5
326,9,t1thomas,left,6,0.521545,1,Optima MR450w,1.5
327,9,t1thomas,right,6,0.705273,1,Optima MR450w,1.5
328,9,t1thomas,left,7,0.790365,1,Optima MR450w,1.5
329,9,t1thomas,right,7,0.937582,1,Optima MR450w,1.5
330,9,t1thomas,left,8,0.462617,1,Optima MR450w,1.5
331,9,t1thomas,right,8,0.714411,1,Optima MR450w,1.5
332,9,t1thomas,left,9,0.831421,1,Optima MR450w,1.5
333,9,t1thomas,right,9,0.828108,1,Optima MR450w,1.5
334,9,t1thomas,left,10,2.447432,1,Optima MR450w,1.5
335,9,t1thomas,right,10,2.822907,1,Optima MR450w,1.5
336,9,t1thomas,left,11,1.396577,1,Optima MR450w,1.5
337,9,t1thomas,right,11,1.975585,1,Optima MR450w,1.5
338,9,t1thomas,left,12,0.987163,1,Optima MR450w,1.5
339,9,t1thomas,right,12,0.992544,1,Optima MR450w,1.5
340,9,hipsthomas,left,2,0.576241,1,Optima MR450w,1.5
341,9,hipsthomas,right,2,0.539535,1,Optima MR450w,1.5
342,9,hipsthomas,left,4,0.872596,1,Optima MR450w,1.5
343,9,hipsthomas,right,4,0.437064,1,Optima MR450w,1.5
344,9,hipsthomas,left,5,1.084105,1,Optima MR450w,1.5
345,9,hipsthomas,right,5,0.918837,1,Optima MR450w,1.5
346,9,hipsthomas,left,6,0.497304,1,Optima MR450w,1.5
347,9,hipsthomas,right,6,0.449889,1,Optima MR450w,1.5
348,9,hipsthomas,left,7,0.744383,1,Optima MR450w,1.5
349,9,hipsthomas,right,7,0.528837,1,Optima MR450w,1.5
350,9,hipsthomas,left,8,0.636491,1,Optima MR450w,1.5
351,9,hipsthomas,right,8,0.949904,1,Optima MR450w,1.5
352,9,hipsthomas,left,9,0.534898,1,Optima MR450w,1.5
353,9,hipsthomas,right,9,1.265444,1,Optima MR450w,1.5
354,9,hipsthomas,left,10,2.117657,1,Optima MR450w,1.5
355,9,hipsthomas,right,10,2.678705,1,Optima MR450w,1.5
356,9,hipsthomas,left,11,0.52693,1,Optima MR450w,1.5
357,9,hipsthomas,right,11,0.702285,1,Optima MR450w,1.5
358,9,hipsthomas,left,12,0.69084,1,Optima MR450w,1.5
359,9,hipsthomas,right,12,0.552897,1,Optima MR450w,1.5
360,10,t1thomas,left,2,0.494488,2,Ingenia,1.5
361,10,t1thomas,right,2,0.366913,2,Ingenia,1.5
362,10,t1thomas,left,4,0.543763,2,Ingenia,1.5
363,10,t1thomas,right,4,0.387552,2,Ingenia,1.5
364,10,t1thomas,left,5,1.208525,2,Ingenia,1.5
365,10,t1thomas,right,5,1.239597,2,Ingenia,1.5
366,10,t1thomas,left,6,0.50633,2,Ingenia,1.5
367,10,t1thomas,right,6,0.426304,2,Ingenia,1.5
368,10,t1thomas,left,7,0.808407,2,Ingenia,1.5
369,10,t1thomas,right,7,0.435725,2,Ingenia,1.5
370,10,t1thomas,left,8,0.456877,2,Ingenia,1.5
371,10,t1thomas,right,8,0.576471,2,Ingenia,1.5
372,10,t1thomas,left,9,0.597643,2,Ingenia,1.5
373,10,t1thomas,right,9,0.961032,2,Ingenia,1.5
374,10,t1thomas,left,10,2.071042,2,Ingenia,1.5
375,10,t1thomas,right,10,2.719286,2,Ingenia,1.5
376,10,t1thomas,left,11,0.747247,2,Ingenia,1.5
377,10,t1thomas,right,11,0.643685,2,Ingenia,1.5
378,10,t1thomas,left,12,0.695269,2,Ingenia,1.5
379,10,t1thomas,right,12,0.669278,2,Ingenia,1.5
380,10,hipsthomas,left,2,0.695969,2,Ingenia,1.5
381,10,hipsthomas,right,2,0.48274,2,Ingenia,1.5
382,10,hipsthomas,left,4,0.664006,2,Ingenia,1.5
383,10,hipsthomas,right,4,0.51817,2,Ingenia,1.5
384,10,hipsthomas,left,5,1.016169,2,Ingenia,1.5
385,10,hipsthomas,right,5,0.976564,2,Ingenia,1.5
386,10,hipsthomas,left,6,0.492114,2,Ingenia,1.5
387,10,hipsthomas,right,6,0.579972,2,Ingenia,1.5
388,10,hipsthomas,left,7,0.685072,2,Ingenia,1.5
389,10,hipsthomas,right,7,0.669181,2,Ingenia,1.5
390,10,hipsthomas,left,8,0.672244,2,Ingenia,1.5
391,10,hipsthomas,right,8,0.863519,2,Ingenia,1.5
392,10,hipsthomas,left,9,0.587458,2,Ingenia,1.5
393,10,hipsthomas,right,9,0.944639,2,Ingenia,1.5
394,10,hipsthomas,left,10,2.202348,2,Ingenia,1.5
395,10,hipsthomas,right,10,3.069611,2,Ingenia,1.5
396,10,hipsthomas,left,11,0.554334,2,Ingenia,1.5
397,10,hipsthomas,right,11,0.526006,2,Ingenia,1.5
398,10,hipsthomas,left,12,0.578975,2,Ingenia,1.5
399,10,hipsthomas,right,12,0.476315,2,Ingenia,1.5
400,11,t1thomas,left,2,0.509705,3,Aera,1.5
401,11,t1thomas,right,2,0.365641,3,Aera,1.5
402,11,t1thomas,left,4,0.643211,3,Aera,1.5
403,11,t1thomas,right,4,0.460298,3,Aera,1.5
404,11,t1thomas,left,5,1.07525,3,Aera,1.5
405,11,t1thomas,right,5,1.045101,3,Aera,1.5
406,11,t1thomas,left,6,0.557445,3,Aera,1.5
407,11,t1thomas,right,6,0.476976,3,Aera,1.5
408,11,t1thomas,left,7,0.781764,3,Aera,1.5
409,11,t1thomas,right,7,0.713646,3,Aera,1.5
410,11,t1thomas,left,8,0.477597,3,Aera,1.5
411,11,t1thomas,right,8,0.6613,3,Aera,1.5
412,11,t1thomas,left,9,0.824234,3,Aera,1.5
413,11,t1thomas,right,9,0.944003,3,Aera,1.5
414,11,t1thomas,left,10,2.163357,3,Aera,1.5
415,11,t1thomas,right,10,2.842651,3,Aera,1.5
416,11,t1thomas,left,11,1.208736,3,Aera,1.5
417,11,t1thomas,right,11,1.362466,3,Aera,1.5
418,11,t1thomas,left,12,0.915113,3,Aera,1.5
419,11,t1thomas,right,12,0.8551,3,Aera,1.5
420,11,hipsthomas,left,2,0.663052,3,Aera,1.5
421,11,hipsthomas,right,2,0.546665,3,Aera,1.5
422,11,hipsthomas,left,4,0.687197,3,Aera,1.5
423,11,hipsthomas,right,4,0.430093,3,Aera,1.5
424,11,hipsthomas,left,5,0.93796,3,Aera,1.5
425,11,hipsthomas,right,5,1.056732,3,Aera,1.5
426,11,hipsthomas,left,6,0.414865,3,Aera,1.5
427,11,hipsthomas,right,6,0.474697,3,Aera,1.5
428,11,hipsthomas,left,7,0.585341,3,Aera,1.5
429,11,hipsthomas,right,7,0.477211,3,Aera,1.5
430,11,hipsthomas,left,8,0.751995,3,Aera,1.5
431,11,hipsthomas,right,8,0.931528,3,Aera,1.5
432,11,hipsthomas,left,9,0.577871,3,Aera,1.5
433,11,hipsthomas,right,9,0.886336,3,Aera,1.5
434,11,hipsthomas,left,10,2.094568,3,Aera,1.5
435,11,hipsthomas,right,10,2.4299,3,Aera,1.5
436,11,hipsthomas,left,11,0.671025,3,Aera,1.5
437,11,hipsthomas,right,11,0.599802,3,Aera,1.5
438,11,hipsthomas,left,12,0.617405,3,Aera,1.5
439,11,hipsthomas,right,12,0.474471,3,Aera,1.5
440,12,t1thomas,left,2,0.518321,2,Achieva,1.5
441,12,t1thomas,right,2,0.341359,2,Achieva,1.5
442,12,t1thomas,left,4,0.600028,2,Achieva,1.5
443,12,t1thomas,right,4,0.607486,2,Achieva,1.5
444,12,t1thomas,left,5,1.009648,2,Achieva,1.5
